original_index	real_search	ingredient	search_title	page_title	description	page_url
2611		Pulpo	Pulpo	¡Pulpo!	The octopus (/ˈɒktəpʊs/ or /ˈɒktəpəs/; plural: octopuses, octopi, or octopodes) is a cephalopod mollusc of the order Octopoda.	http://en.wikipedia.org/wiki/Octopus
2092		Abalone	Abalone	Abalone	Abalone (/ˈæbəloʊniː/ or /ˌæbəˈloʊniː/; via Spanish abulón, from the (Rumsen language) aulón), is a common name for any of a group of small to very large edible sea snails, marine gastropod molluscs in the family Haliotidae. 	http://en.wikipedia.org/wiki/Abalone
1393		Peanut Butter Taffy	taffy	Abba-Zaba	Taffy or chews, are a type of candy, similar to toffee. 	http://en.wikipedia.org/wiki/Taffy_(candy)
1394		Peanut Butter Taffy	taffy	Abba-Zaba	Taffy or chews, are a type of candy, similar to toffee. 	http://en.wikipedia.org/wiki/Taffy_(candy)
4		Açaí Juice	Açaí Juice	Açaí palm	The açaí palm (Portuguese: [aˌsaˈi] ( ), from Tupi-Guarani asaí; Euterpe oleracea) is a species of palm tree in the genus Euterpe cultivated for its fruit and superior hearts of palm. 	http://en.wikipedia.org/wiki/A%C3%A7a%C3%AD_palm
5		Açaí Juice	Açaí Juice	Açaí palm	The açaí palm (Portuguese: [aˌsaˈi] ( ), from Tupi-Guarani asaí; Euterpe oleracea) is a species of palm tree in the genus Euterpe cultivated for its fruit and superior hearts of palm. 	http://en.wikipedia.org/wiki/A%C3%A7a%C3%AD_palm
556		Concentrated Vinegar	Concentrated Vinegar	Acetic acid	Acetic acid /əˈsiːtɨk/ (systematically named ethanoic acid /ˌɛθəˈnoʊɨk/) is an organic compound with the chemical formula CH3COOH (also written as CH3CO2H or C2H4O2).	http://en.wikipedia.org/wiki/Acetic_acid
2093		Acorn Squash	Acorn Squash	Acorn squash	Acorn squash (Cucurbita pepo var. turbinata), also called pepper squash or Des Moines squash, is a winter squash with distinctive longitudinal ridges and sweet, yellow-orange flesh.	http://en.wikipedia.org/wiki/Acorn_squash
2122		Baby Kiwi	Baby Kiwi	Kiwifruit	The kiwifruit or Chinese gooseberry (often shortened to kiwi outside New Zealand), is the edible berry of a woody vine in the genus Actinidia.	http://en.wikipedia.org/wiki/Kiwifruit
476	Adobo	Chipotle in Adobo	Chipotle in Adobo	Adobo	Adobo (Spanish: marinade, sauce, or seasoning) is the immersion of raw food in a stock (or sauce) composed variously of paprika, oregano, salt, garlic, and vinegar to preserve and enhance its flavor. 	http://en.wikipedia.org/wiki/Adobo
