,Column,real_search,ingredient,page_title,episode_no,Title,airdate,episode_notes,page_url,description
0,0,,nduja,Nduja,222,Firefighter Chefs,1/12/2014,All contestants are firefighters.,http://en.wikipedia.org/wiki/%27Nduja,"Nduja is a spicy, spreadable pork sausage from Italy. It is typically made with parts of the pig such as the shoulder, belly and jowl, as well as tripe, roasted peppers and a mixture of spices. It is a Calabrian variation of salami, loosely based on the French andouille introduced in the 13th century by the Angevins.
The name derives from the Latin ""inducere"". "
1,1,,Half a Bottle of White Wine,White wine,119,Leftovers Extravaganza!,3/6/2012,This was a leftovers competition. The white wine used in the entr√©e round was Chardonnay.,http://en.wikipedia.org/wiki/White_wine,"White wine is a wine whose colour can be straw-yellow, yellow-green, or yellow-gold coloured.
It is produced by the alcoholic fermentation of the non-coloured pulp of grapes which may have a white or black skin. It is treated so as to maintain a yellow transparent colour in the final product. The wide variety of white wines comes from the large number of varieties, methods of winemaking, and also the ratio of residual sugar.
"
2,2,Tequila,Añejo Tequila,,188,Better Saffron Than Sorry,6/4/2013,Chef Ramborger is the first deaf chef to participate in the show. He was accompanied by interpreter Lydia Callis.,,
3,3,,Abbey Style Beer,Beer in Belgium,61,Spouting Off,10/5/2010,,http://en.wikipedia.org/wiki/Beer_in_Belgium,"Beer in Belgium varies from pale lager to lambic beer and Flemish red. There are approximately 180 breweries in the country, ranging from international giants to microbreweries.
On average, Belgians drink 84 litres of beer each year, down from around 200 each year in 1900. Most beers are bought or served in bottles, rather than cans, and almost every style of beer has its own particular, uniquely shaped glass or other drinking-vessel. Using the correct glass is considered to improve its flavor.
"
4,4,,Açaí Juice,A√ßa√≠ palm,165,Make No Mistake,2/17/2013,This episode featured chefs who were eliminated in previous episodes for making egregious mistakes. Fans were given a chance to select the competitors for the episode via an Internet poll.,http://en.wikipedia.org/wiki/A%C3%A7a%C3%AD_palm,"The a√ßa√≠ palm (Portuguese: [aÀåsaÀài] ( ), from Tupi-Guarani asa√≠; Euterpe oleracea) is a species of palm tree in the genus Euterpe cultivated for its fruit and superior hearts of palm. Its name comes from the Portuguese adaptation of the Tupian word √Øwaca'i, '[fruit that] cries or expels water'. Global demand for the fruit has expanded rapidly in recent years, and a√ßa√≠ is now cultivated for that purpose primarily. Euterpe edulis (ju√ßara) is a closely related species which is now the primary source of hearts of palm. "
5,5,,Açaí Juice,A√ßa√≠ palm,201,Walk on the Whelk Side,8/6/2013,,http://en.wikipedia.org/wiki/A%C3%A7a%C3%AD_palm,"The a√ßa√≠ palm (Portuguese: [aÀåsaÀài] ( ), from Tupi-Guarani asa√≠; Euterpe oleracea) is a species of palm tree in the genus Euterpe cultivated for its fruit and superior hearts of palm. Its name comes from the Portuguese adaptation of the Tupian word √Øwaca'i, '[fruit that] cries or expels water'. Global demand for the fruit has expanded rapidly in recent years, and a√ßa√≠ is now cultivated for that purpose primarily. Euterpe edulis (ju√ßara) is a closely related species which is now the primary source of hearts of palm. "
6,6,,Adzuki Beans,Azuki bean,62,When Octopuses Attack,10/12/2010,,http://en.wikipedia.org/wiki/Azuki_bean,"The azuki bean (from the Japanese „Ç¢„Ç∫„Ç≠ÔºàÂ∞èË±ÜÔºâ (azuki?)), also known as adzuki or aduki, is an annual vine, Vigna angularis, widely grown throughout East Asia and the Himalayas for its small (approximately 5 mm) bean. The cultivars most familiar in Northeast Asia have a uniform red color. However, white, black, gray and variously mottled varieties are also known. Scientists presume Vigna angularis var. "
7,7,,Adzuki Beans,Azuki bean,80,Saying Sayonara,5/17/2011,,http://en.wikipedia.org/wiki/Azuki_bean,"The azuki bean (from the Japanese „Ç¢„Ç∫„Ç≠ÔºàÂ∞èË±ÜÔºâ (azuki?)), also known as adzuki or aduki, is an annual vine, Vigna angularis, widely grown throughout East Asia and the Himalayas for its small (approximately 5 mm) bean. The cultivars most familiar in Northeast Asia have a uniform red color. However, white, black, gray and variously mottled varieties are also known. Scientists presume Vigna angularis var. "
8,8,,Aged Cheddar Cheese,Cheddar cheese,117,Chewing the Caul Fat,2/14/2012,,http://en.wikipedia.org/wiki/Cheddar_cheese,"Cheddar cheese is a relatively hard, pale-yellow-to-off-white (unless artificially coloured), sometimes ""sharp"" (i.e., acidic)-tasting, natural cheese. Originating in the English village of Cheddar in Somerset, cheeses of this style are produced beyond this region and in several countries around the world.
Cheddar is the most popular type of cheese in the U.K., accounting for 51 percent of the country's ¬£1.9 billion annual cheese market; it is also the second-most-popular cheese in the U.S.A. (behind mozzarella), with an average annual consumption of 10 lb (4.5 kg) per capita. "
9,9,,Aged Gouda,Gouda,123,All-Stars: Iron Chefs Do Battle,4/8/2012,This was the first of a five-part series of episodes in which categorical groups of celebrity chefs competed for charity.,http://en.wikipedia.org/wiki/Gouda,"Gouda (Dutch pronunciation: [Àà…£ åuÃØdaÀë] ( ); population 70,828 in 2009) is a city and municipality in the western Netherlands, in the province of South Holland. Gouda, which was granted city rights in 1272, is famous for its Gouda cheese, smoking pipes, and 15th-century city hall.
In the Middle Ages, a settlement was founded at the location of the current city by the Van der Goude family, who built a fortified castle alongside the banks of the Gouwe River, from which the family and the city took its name. The area, originally marshland, developed over the course of two centuries. "
10,10,,Aleppo Pepper,Aleppo pepper,150,A Bunny Thing Happened,9/11/2012,Each basket contained an Easter-themed ingredient.,http://en.wikipedia.org/wiki/Aleppo_pepper,"The Aleppo pepper (Arabic: ŸÅŸÑŸÅŸÑ ÿ≠ŸÑÿ®Ÿä‚Äé, known as pul biber (flake pepper) in Turkish) is a variety of Capsicum annuum used as a spice, particularly in Middle Eastern and Mediterranean cuisine. Also known as the Halaby pepper, it starts as pods which ripen to a burgundy color and is then semi-dried, de-seeded, then crushed or coarsely ground. The pepper is named after Aleppo, a long-inhabited city along the Silk Road in northern Syria, and is grown in Syria and Turkey.
Although a common condiment, its use in the United States outside of Armenian, Syrian and Turkish immigrant communities was rare until the 20th century, with one source (Los Angeles magazine) dating its rise in use among the broader U.S. "
